name,score
William Karlsson,30.866666666666667
Filip Chlapik,27.333333333333336
Radek Faksa,27.083333333333332
Robby Fabbri,26.2
Jared McCann,25.916666666666664
Mark Borowiecki,25.333333333333332
Anthony Mantha,24.566666666666663
Connor McDavid,24.0
Colton Parayko,23.833333333333336
MacKenzie Weegar,23.5
Erik Karlsson,23.0
Kyle Clifford,23.0
Jordan Greenway,22.904761904761905
Patrick Kane,21.5
Tyler Seguin,20.833333333333332
Zach Werenski,20.166666666666664
Josh Bailey,19.649999999999995
Oliver Ekman-Larsson,19.45
Brad Hunt,19.203174603174602
Mark Stone,19.083333333333332
Matthew Tkachuk,18.833333333333332
Matt Benning,18.75
Adam Henrique,18.15
Barclay Goodrow,17.75
Ryan Nugent-Hopkins,17.166666666666668
Ilya Mikheyev,17.1
Jean-Gabriel Pageau,16.666666666666664
Marcus Johansson,16.5
James Neal,16.333333333333332
Evgenii Dadonov,16.25
Jonathan Drouin,16.0
Dominik Kahun,16.0
Drake Caggiula,15.583333333333334
Jakob Silfverberg,15.48333333333333
Kasperi Kapanen,15.100000000000001
Jeff Skinner,15.083333333333334
Ryan Ellis,15.0
Jamie Benn,15.0
Duncan Keith,14.916666666666666
Jared Spurgeon,14.861904761904762
Tyler Bertuzzi,14.85
Denis Malgin,14.649999999999999
Nikita Kucherov,14.642857142857144
Ivan Provorov,14.533333333333333
Pavel Buchnevich,14.5
Dylan Larkin,13.916666666666668
Oscar Klefbom,13.666666666666666
Danny DeKeyser,13.6
Aaron Ekblad,13.55
Alec Martinez,13.45
Artturi Lehkonen,13.033333333333331
Andrew Mangiapane,13.0
Andrei Svechnikov,13.0
Sam Lafferty,13.0
William Carrier,12.9
John Carlson,12.616666666666667
Ryan Dzingel,12.583333333333334
Alexander Steen,12.583333333333332
Matt Dumba,12.107936507936508
Nathan MacKinnon,12.033333333333331
Kris Russell,12.0
Roman Josi,11.916666666666668
Anthony Duclair,11.833333333333334
Ondrej Kase,11.616666666666667
Michael Raffl,11.283333333333333
Alexander Nylander,11.283333333333333
Justin Holl,11.166666666666668
Rickard Rakell,11.166666666666666
Nick Ritchie,11.033333333333333
Jonathan Marchessault,11.033333333333333
Mika Zibanejad,10.966666666666667
Oliver Bjorkstrand,10.5
Boone Jenner,10.5
Nazem Kadri,10.366666666666667
Torey Krug,10.333333333333334
Matt Calvert,10.333333333333332
Kevin Fiala,10.263492063492063
Tom Wilson,10.166666666666666
Carl Soderberg,10.0
Jake Guentzel,9.983333333333333
Alex DeBrincat,9.75
Josh Leivo,9.726190476190476
Will Butcher,9.666666666666668
Brandon Saad,9.666666666666666
Brendan Leipsic,9.6
Colton Sissons,9.5
Charlie Coyle,9.483333333333333
Alex Pietrangelo,9.45
Tyler Myers,9.416666666666666
Chris Tierney,9.3
Mike Hoffman,9.3
Michael Amadio,9.166666666666666
Patric Hornqvist,9.066666666666666
Ivan Barbashev,9.0
J.T. Compher,9.0
Sean Kuraly,9.0
Blake Coleman,8.916666666666666
Nikolaj Ehlers,8.866666666666667
Tomas Hertl,8.833333333333332
Keith Yandle,8.733333333333333
Aleksander Barkov,8.666666666666666
Reilly Smith,8.533333333333331
Dylan Gambrell,8.5
Connor Brown,8.283333333333333
Travis Boyd,8.25
Nick Leddy,8.25
Teuvo Teravainen,8.083333333333332
Bobby Ryan,8.083333333333332
William Nylander,8.033333333333333
Scott Sabourin,8.0
Sam Reinhart,7.916666666666666
Evgeni Malkin,7.8999999999999995
J.T. Miller,7.8428571428571425
Carter Rowney,7.833333333333333
Leon Draisaitl,7.833333333333333
Radko Gudas,7.816666666666666
Lars Eller,7.783333333333333
Frederik Gauthier,7.75
Ryan Carpenter,7.666666666666666
Anthony Beauvillier,7.666666666666666
Damon Severson,7.666666666666666
Sonny Milano,7.5
Mattias Janmark,7.5
Tyler Pitlick,7.5
Derek Ryan,7.5
Sebastian Aho,7.416666666666667
Taylor Hall,7.25
Gaetan Haas,7.25
David Pastrnak,7.233333333333333
Charlie McAvoy,7.2
Alex Goligoski,7.2
Clayton Keller,7.2
Pavel Zacha,7.166666666666666
Travis Sanheim,7.166666666666666
Tomas Tatar,7.166666666666666
Joel Eriksson Ek,7.106349206349206
Max Domi,7.033333333333332
Ilya Kovalchuk,7.0
TJ Brodie,6.916666666666666
Conor Sheary,6.916666666666666
Ethan Bear,6.75
Patrik Laine,6.733333333333333
Ryan Suter,6.650793650793649
Vladimir Tarasenko,6.583333333333333
Kyle Connor,6.566666666666666
Jason Spezza,6.533333333333333
Alexander Edler,6.5095238095238095
Adam Fox,6.5
Matt Martin,6.5
Logan Couture,6.5
Darren Helm,6.433333333333334
Cal Clutterbuck,6.366666666666667
Tyler Ennis,6.35
Vince Dunn,6.333333333333333
Steven Stamkos,6.309523809523808
Mikhail Sergachev,6.226190476190475
Jonathan Huberdeau,6.083333333333333
Jack Eichel,6.083333333333333
Zack Kassian,6.0
Matt Nieto,5.999999999999999
Jakub Voracek,5.933333333333333
Claude Giroux,5.916666666666666
Brock McGinn,5.916666666666666
Denis Gurianov,5.833333333333334
Brendan Lemieux,5.833333333333333
Neal Pionk,5.833333333333333
Vincent Trocheck,5.8
Phillip Danault,5.6499999999999995
Derek Grant,5.616666666666666
Kyle Turris,5.583333333333333
Hampus Lindholm,5.5
Teddy Blueger,5.5
Brian Boyle,5.5
Kyle Palmieri,5.5
Ondrej Palat,5.476190476190476
John Tavares,5.4
Danton Heinen,5.316666666666666
Joonas Donskoi,5.283333333333333
Brock Nelson,5.283333333333333
Ryan Pulock,5.25
Patrick Maroon,5.25
Timo Meier,5.166666666666666
Travis Zajac,5.166666666666666
Chris Kreider,5.1499999999999995
Paul Stastny,5.1499999999999995
Johnny Gaudreau,5.083333333333334
Sam Bennett,5.0
Tyler Bozak,5.0
Brandon Tanev,5.0
Brent Burns,5.0
Travis Konecny,4.949999999999999
Tanner Pearson,4.949999999999999
Casey Cizikas,4.949999999999999
Troy Stecher,4.892857142857142
Adam Gaudette,4.833333333333334
Dominik Simon,4.833333333333333
Morgan Rielly,4.833333333333333
Blake Lizotte,4.833333333333333
Jake Virtanen,4.783333333333332
Marcus Foligno,4.7523809523809515
Tyson Jost,4.75
Ryan Strome,4.749999999999999
David Perron,4.7
Sam Steel,4.7
Anders Bjork,4.633333333333333
Nikita Zaitsev,4.633333333333333
Luke Kunin,4.6079365079365076
Mattias Ekholm,4.5
Kris Letang,4.5
Conor Garland,4.5
Joel Farabee,4.5
Zach Aston-Reese,4.5
Joe Pavelski,4.416666666666666
Mathew Barzal,4.3999999999999995
Zdeno Chara,4.366666666666666
Jakub Vrana,4.366666666666666
Adrian Kempe,4.333333333333333
Cody Glass,4.283333333333333
Alex Galchenyuk,4.2
Jack Hughes,4.166666666666666
Sean Couturier,4.15
Shea Weber,4.066666666666666
Bo Horvat,4.059523809523809
Seth Jones,4.0
Alexander Wennberg,4.0
Andreas Athanasiou,3.95
Mitchell Marner,3.9499999999999997
Mark Giordano,3.833333333333333
Jason Zucker,3.815873015873016
Casey Mittelstadt,3.75
Ryan Johansen,3.75
Ryan McDonagh,3.75
Anze Kopitar,3.6999999999999997
Brock Boeser,3.6999999999999997
Filip Forsberg,3.6666666666666665
Mikael Backlund,3.666666666666666
David Krejci,3.6166666666666667
Austin Wagner,3.583333333333333
Calvin de Haan,3.5333333333333337
Ryan Getzlaf,3.533333333333333
Max Pacioretty,3.533333333333333
Ryan Donato,3.4761904761904763
Samuel Girard,3.333333333333333
Viktor Arvidsson,3.333333333333333
Jack Roslovic,3.2333333333333334
Dominik Kubalik,3.2
Jesper Fast,3.2
