Player,embedding
Shayne Gostisbehere,"[0.11226033574093451,0.13159826734459273,0.12295270162545639,0.14859633421003093,0.09781695758156965,0.08805850216728187,0.11964469035220397,0.14820001994306994,0.10925041016992423,0.09731842762336168,0.1080633965602573,0.10180819024646505,0.0899991218491294,0.12944928095258665,0.06786864183177273,0.16090552766658572,0.14151223596576387,0.03625369705671516,0.17445822537769737,0.11781682336204558,0.13433703961637156,0.09698878822381658,0.14967155944340496,0.1523509263949276,0.14229370887850157,0.09216607347139115,0.06408896613403708,0.16389687707356457,0.09858685377120886,0.12647311194851446,0.11737796502749791,0.09251772901827164,0.15457411687492925,0.14575457034981074,0.1819663932674233,0.1004788844849291,0.13567671868916356,0.08906409109388529,0.10580672180116944,0.1474000580198559,0.09890009466653715,0.1296495047586706,0.11782075335625031,0.11973723584540118,0.12202619701470958,0.10505760179063553,0.09844293908552226,0.15558423477943525,0.09551305281326705,0.14919812573240832,0.14687195840271983,0.07062068105172047,0.10328005736680669,0.11465406657727732,0.15099014995310261,0.09598490718959918,0.16189275333030864,0.09506841488420542,0.15307223956453614,0.18688055330340103,0.13366070667165128,0.08338597772761237,0.17581564196730518,0.09302290290111982]"
Claude Giroux,"[0.11221969980490319,0.1318266041815291,0.12322443910612464,0.14890993250624532,0.09767282745973514,0.08765270477990134,0.11930545419242965,0.1480099115981413,0.10896515654267842,0.09720391275077303,0.10745489188181295,0.10183219483215976,0.08977193260658607,0.12902091596437962,0.06772488100543371,0.161209156512231,0.14195109030898148,0.03603873846176686,0.17510959199408854,0.1181817354152825,0.1349090715641693,0.09632986833065346,0.14939940911511715,0.15273178283904992,0.14256394102643757,0.09165158128171022,0.06387079583498262,0.16386373610320557,0.09849300856556265,0.1269033182704027,0.11677578894217551,0.09300268863178952,0.15446713437429996,0.14615263581363572,0.18234184855442806,0.1002829439632784,0.13523336210942427,0.08874053643799408,0.10549512999038888,0.1477980869380999,0.09886235538363443,0.12928607260727215,0.11766124794240965,0.11959280026400919,0.12186440991086268,0.10532369183157014,0.0978550509591926,0.15621621613132347,0.09485709169549682,0.14941926473115852,0.14649697375513984,0.07020167658981834,0.10343135285017038,0.11457558988636878,0.15073860429571828,0.09558178844770669,0.16160120117246216,0.09436446656605268,0.15295135379566233,0.18734823569607897,0.13406205230313673,0.08304862420572351,0.17665111373148312,0.09288802812635849]"
Travis Konecny,"[0.11223483076995378,0.13173648205579874,0.12312741343567057,0.1487925551081422,0.09772213644229905,0.0877963070469317,0.1194296074079551,0.14808410941139075,0.10906667967911779,0.09724316121608861,0.10768085187845507,0.10181821029354923,0.08985355444629081,0.12916852930061262,0.0677767258550893,0.16110468236505146,0.14178373587596474,0.03611045035626526,0.1748710509648744,0.11804565814893445,0.13469483116515915,0.09656803700919618,0.14950104439949266,0.1525877237001712,0.1424652937373391,0.09183637569128551,0.0639480839658208,0.16388754294508914,0.09851572534317621,0.12674995186854987,0.1170024060776109,0.09282618726487388,0.15451110501194842,0.14600502167731913,0.1822055449395515,0.10034640791911673,0.13540183843948336,0.08885566056687605,0.10560518698624329,0.14765583595874585,0.09887781188878203,0.12943157564353985,0.11772592395192888,0.11964373416605144,0.12192157219224199,0.10522384251796818,0.09805909690780966,0.15598632302653795,0.09509771886932254,0.14934581732605262,0.1466357739120798,0.07035085754084427,0.10337055406230598,0.11460559841878892,0.15082969768967613,0.09572927615776919,0.16171725732812056,0.0946276887122646,0.1530017490578624,0.18717986531342773,0.13392154799708675,0.0831636954136882,0.17633946683075308,0.09293521717298263]"
Ivan Provorov,"[0.11223948957578837,0.1317080497596955,0.12309789039396954,0.14875613154914533,0.09773685832223714,0.08783975272505477,0.11946775652210397,0.14810740441477005,0.10909740656321865,0.09725479098390548,0.10775056315067102,0.10181331303594619,0.08987832253540054,0.12921264192577575,0.06779253396088886,0.1610734067033883,0.1417315074217311,0.03613163962412945,0.1747976663721605,0.11800357657564184,0.13462853214522605,0.09664072268782778,0.1495324569670043,0.15254286216985152,0.1424349731805656,0.091892659674335,0.06397149528750273,0.16389616768476112,0.09852122288879453,0.12670335109809888,0.11707262487504874,0.09277216046838034,0.1545252118604999,0.1459593998879271,0.18216373062283284,0.10036487658076036,0.13545420885267173,0.08889062384567757,0.10563843978230013,0.1476125595026562,0.09888263970439294,0.12947761288123566,0.1177464704529506,0.11965912279819793,0.1219388406417643,0.10519284981326608,0.09812034467524147,0.155915860740396,0.09517170364951338,0.14932408153850163,0.14667850468088772,0.07039622991252587,0.10335125503389618,0.11461496728043817,0.15085743885357086,0.0957745753952406,0.1617539298488412,0.09470915497106756,0.153017901584603,0.18712837012393652,0.13387917969634414,0.08319802137278698,0.17624289521497402,0.09294944053520704]"
Brandon Manning,"[0.11225547090125365,0.13161756503640212,0.12298881686700742,0.1486314813345303,0.09779483288233627,0.08800329261389014,0.11960261112412249,0.1481822965256797,0.10921251986049074,0.09730157983316236,0.10799335444678501,0.10180425317252091,0.08997010261087829,0.12938617129134874,0.06785003882908686,0.1609500568815938,0.1415573683555197,0.03621907021797396,0.17453691212361236,0.11785813579794238,0.13440002100403367,0.09690547391254453,0.14964044013478078,0.15239166359331993,0.14232717268762418,0.09209926543268145,0.06405917264885494,0.16390729983253177,0.09856153814237205,0.12653037608499149,0.11731259036326715,0.0925781471478981,0.15456621268233287,0.1458008666324917,0.1820133362040574,0.10044480729289042,0.13563037453081173,0.08902029208207794,0.105764006961877,0.14745243803833577,0.09889810958252074,0.12962093710307243,0.117809054649082,0.1197170090564225,0.12200380209549863,0.10508728667780712,0.09835812303483554,0.15566258866244764,0.09543352147706424,0.1492345244877495,0.14682804956187323,0.07056402620945477,0.10329146030032087,0.11464564523400766,0.1509585888355049,0.09593524225955805,0.16186857303863875,0.09498981880638736,0.15306489317807073,0.18694070918309308,0.13371709114093125,0.08333436213223744,0.17590930806545893,0.09300344395906646]"
Pierre-Edouard Bellemare,"[0.11222191517144837,0.13181342698764129,0.12321192718444106,0.1488933549994627,0.09767888043626645,0.08767054191293157,0.11932270912369526,0.14802101316832877,0.10897764403162086,0.0972080473194715,0.10748572881414815,0.1018295062671461,0.08978191038257224,0.12903819395016533,0.067731699136647,0.16119710809760238,0.14192708353454697,0.0360467261817603,0.17507768581113023,0.1181629711747476,0.13487988891216973,0.09636048808362506,0.14941371503212558,0.1527112161421493,0.1425505173417076,0.09167537336844024,0.06388059980500703,0.16386931332839336,0.09849298905588458,0.1268837722360683,0.11680711524629796,0.09297924230779518,0.1544747517658158,0.14613216413647798,0.1823237688046784,0.10028961075687334,0.13525709531946636,0.08875550339209452,0.10550878355595611,0.14778000354218526,0.09886412978797486,0.12930783353877656,0.11767117465066505,0.11959935919573714,0.12187166183124716,0.10530946249801873,0.09787944557857471,0.15618591652053532,0.09488974769093093,0.1494107678920156,0.14651590838289588,0.07022120525114696,0.10342225373169,0.1145802026234205,0.15075018590687192,0.09560193544926011,0.16161881486102234,0.09440074661958667,0.15295947998492448,0.18732622146566275,0.13404490949183917,0.08306231212793452,0.1766082906929663,0.09289408172206147]"
Jakub Voracek,"[0.11225045222749844,0.13164718049368077,0.12302151819811871,0.14867069641817518,0.09777806973269094,0.0879549617779119,0.11956099208195482,0.14815788044447586,0.10917850630670514,0.09728841950799172,0.10791807267623339,0.10180849345780095,0.08994286871670523,0.1293362775223663,0.0678326530065387,0.16098550380707088,0.14161293151201462,0.036194537788550536,0.17461694850749787,0.11790348659092816,0.13447122667220507,0.09682568970453982,0.14960662597815333,0.15243964862607562,0.14236032749943694,0.09203721617557872,0.06403313043116757,0.16390036427760854,0.09855321182650534,0.12658201080096754,0.11723740829518749,0.09263721432429371,0.15455179474755804,0.14585024868088559,0.18205920807910164,0.1004229946197373,0.13557463266058634,0.08898148837332448,0.10572698350663341,0.14750032051404152,0.09889327191674512,0.12957341991885313,0.11778799466609363,0.11969984551751076,0.1219845758550749,0.10512059549778044,0.09828912341657946,0.15573971315858137,0.0953529553130272,0.14925982304945332,0.1467818386577988,0.07051365079057777,0.10331135490989915,0.11463568571618007,0.15092822849684168,0.09588582707507481,0.16183057611958315,0.09490218727315108,0.15304858398703738,0.18699750279671393,0.13376457804125236,0.08329520856601841,0.17601346222200193,0.0929874826849805]"
Sean Couturier,"[0.1122324336596379,0.13175292600185476,0.12314084504532914,0.14881150571062182,0.09771632516987848,0.08777732258436263,0.11941084909315756,0.14807087655621437,0.10905314712275747,0.09723877599788926,0.10764563323512505,0.10182261450871288,0.08984237871619735,0.12915110831291016,0.06776931869846156,0.16111701302944284,0.141812009572474,0.03610304928977785,0.17490696775508263,0.11806720717167761,0.13472892036534823,0.09653410514844611,0.14948482558508883,0.15261163363421715,0.14248013574517754,0.09181050783285101,0.06393774430298824,0.1638786371800517,0.09851810857060775,0.12677090035659574,0.11696583960662954,0.09285203314700405,0.15450204267452342,0.14602819020532926,0.182225592389463,0.10034089839821818,0.13537388283219476,0.08883993146609381,0.1055907877407542,0.14767546057721304,0.09887505769152251,0.1294041953267233,0.11771335890185676,0.1196370330274523,0.12191403841619398,0.10524008717356417,0.09803409575065697,0.1560200937268803,0.0950613237476112,0.14935348156769856,0.14661441245358456,0.07033027611083388,0.10338208739435668,0.11460039409543496,0.15081682076635333,0.09570708974525231,0.16169559866268698,0.09458577159781766,0.1529913414078354,0.18720395626557498,0.1339394346629333,0.08315043221524768,0.17638903882652013,0.09292910092347167]"
Michael Raffl,"[0.11225194559142183,0.1316495962235273,0.12301179985659205,0.14866447830666832,0.09778643916739732,0.08796920298738896,0.1195722477119072,0.1481585859243684,0.10918689878908511,0.09729266154487909,0.1079299049981096,0.10181492762379554,0.08994805899606174,0.12935476554222425,0.06783768034219811,0.16097313935606286,0.14160854639872195,0.03620661846610528,0.1746013257776295,0.11789671461818006,0.1344641398790689,0.09684325348445506,0.14961313696738857,0.15243401385395422,0.1423518696297434,0.0920531986639022,0.0640415350007581,0.16388865031392466,0.09856551654600217,0.1265675268980572,0.11724501234068997,0.09262365883435347,0.1545523610356441,0.14584101954775505,0.18204838106329865,0.10043632488374919,0.13557930337731133,0.08899420382781897,0.10573815498499942,0.14748761200782307,0.09889017493129322,0.12956852460704074,0.11778567084769795,0.1197061958338528,0.1219911359630598,0.10511505186315638,0.09831347340361374,0.15572286927922707,0.09537053119805472,0.1492452797429776,0.1467899183129591,0.07053064425271278,0.10331436782886591,0.11463802499772137,0.1509341684620436,0.09589803892207911,0.16182873371732565,0.09491360339911448,0.15304596581695576,0.18698282442189054,0.1337490946386796,0.08331295809076214,0.17600004088847673,0.09299450008463424]"
Wayne Simmonds,"[0.11226569670668543,0.13155759473307657,0.12291963107463816,0.1485507022566421,0.09783084557042887,0.08810645834186878,0.1196889201025842,0.14823151819009323,0.1092851971014899,0.0973305608618904,0.10814972812630876,0.10179683507125546,0.09002824925561631,0.1294943118047412,0.06788656916950093,0.16087296620363264,0.14144368534158144,0.036272997597040016,0.1743694423942263,0.11776421015522233,0.13425220798102194,0.09707405225866257,0.14971005134901363,0.15229324203017883,0.14225807761812828,0.09223047821078278,0.06411451001847791,0.1639177828884752,0.09858368931302361,0.1264207936457665,0.11746796726166742,0.09245432326437099,0.15459386327226388,0.14569860037642762,0.18191706435979296,0.10049340622261065,0.13574484746760224,0.08910230854357952,0.10584308864247578,0.14735082514231437,0.09890833340659105,0.12971626360869576,0.11785088941186675,0.11975340085433932,0.122044667517433,0.10501887663268072,0.09850695818579709,0.15550060454988268,0.09560141963050829,0.14917927037450415,0.14692409427685799,0.0706703209446,0.10325149903954857,0.11466560427201429,0.15102284911423838,0.09603809969162111,0.16194461108205796,0.09517127404989717,0.15309668973429033,0.1868209659525017,0.13361516891687472,0.08341910898033833,0.17569325591009005,0.09303729826728235]"
