name,plays_with_degree
Ryan Getzlaf,159
Claude Giroux,153
Jordan Staal,136
Derek Grant,129
Adam Henrique,128
Ryan O'Reilly,128
Nathan MacKinnon,124
Mark Scheifele,124
Lars Eller,124
Carl Soderberg,123
Phillip Danault,122
Jack Eichel,120
Sean Couturier,117
Jonathan Toews,115
Pierre-Edouard Bellemare,114
Adam Lowry,113
Mikael Backlund,113
Nicklas Backstrom,112
Chris Wagner,111
Ben Chiarot,111
Eric Staal,110
Jake Muzzin,110
Nazem Kadri,109
Nick Schmaltz,108
Blake Wheeler,108
Mark Giordano,108
Ryan Nugent-Hopkins,106
Matt Duchene,104
Andrew Copp,103
Bo Horvat,103
Elias Lindholm,102
Tyson Barrie,101
Nick Holden,100
Sean Monahan,100
Oscar Klefbom,100
Boone Jenner,99
Leon Draisaitl,98
Rasmus Ristolainen,98
Jaccob Slavin,98
Tom Wilson,98
Jeff Petry,98
Michael Raffl,96
Jacob Trouba,96
Marcus Johansson,96
Alexander Edler,96
Alexander Kerfoot,96
Riley Nash,95
Jeff Carter,95
Travis Konecny,94
Korbinian Holzer,93
Sam Bennett,93
Evgeny Kuznetsov,92
Tyler Bozak,92
Ivan Provorov,90
Dougie Hamilton,90
Anze Kopitar,90
Evander Kane,89
Jakob Silfverberg,88
Jake McCabe,88
Tyler Myers,88
Tyson Jost,88
Brock Nelson,87
Nick Foligno,85
Pierre-Luc Dubois,85
Nick Bonino,85
John Tavares,85
Erik Johnson,85
Garnet Hathaway,85
Shea Weber,85
Max Pacioretty,85
Artturi Lehkonen,84
Duncan Keith,83
Dmitry Orlov,83
Morgan Rielly,83
Max Domi,83
Drew Doughty,82
Christian Dvorak,82
Cam Fowler,82
Jay Beagle,81
Vinnie Hinostroza,80
Darnell Nurse,80
Ryan Strome,80
Derek Stepan,80
Seth Jones,79
Wayne Simmonds,79
Brent Seabrook,79
Radek Faksa,79
Sebastian Aho,79
Brayden McNabb,78
Brandon Tanev,78
Noah Hanifin,78
Brandon Sutter,77
William Karlsson,76
Alex Ovechkin,76
Anthony Cirelli,75
Sidney Crosby,74
Travis Hamonic,74
Matt Niskanen,74
Shayne Gostisbehere,73
Brett Pesce,73
J.T. Miller,73
Alec Martinez,72
Nick Shore,71
Mathew Barzal,71
Brayden Schenn,71
TJ Brodie,71
John Carlson,71
Chris Tierney,71
Tanner Pearson,70
Jack Johnson,70
Jeff Skinner,70
Mark Jankowski,70
Nick Ritchie,69
Joel Armia,69
Nikita Zaitsev,69
David Savard,69
Travis Zajac,68
Gabriel Landeskog,68
Nikolaj Ehlers,68
Matthew Tkachuk,67
Tomas Hertl,67
Patrice Bergeron,67
Milan Lucic,66
Zach Werenski,66
Calvin de Haan,66
Matt Calvert,65
Nikita Zadorov,65
Brian Dumoulin,65
Connor McDavid,65
Brent Burns,65
Matt Benning,64
Kris Letang,64
Johnny Boychuk,64
Oliver Ekman-Larsson,64
Sam Reinhart,64
Kyle Okposo,63
Steven Stamkos,63
Justin Schultz,63
Oliver Bjorkstrand,62
Patrik Nemeth,62
Casey Cizikas,62
Cal Clutterbuck,62
Brett Connolly,62
Dustin Brown,62
Yanni Gourde,62
Luke Kunin,62
William Nylander,62
Jean-Gabriel Pageau,61
Tyler Seguin,61
Adam Pelech,61
Radko Gudas,61
Jakub Voracek,61
Hampus Lindholm,61
Mathieu Perreault,61
Jake Gardiner,61
Andrew Cogliano,60
Carter Rowney,60
Derek Ryan,60
Olli Maatta,60
Jujhar Khaira,60
Erik Gudbranson,59
Dmitry Kulikov,59
Alex Goligoski,59
Jakob Chychrun,59
Oskar Sundqvist,59
Patrick Kane,59
Logan Couture,59
Jon Merrill,58
Matt Dumba,58
Auston Matthews,58
Mark Borowiecki,58
Josh Bailey,58
Rickard Rakell,58
Ron Hainsey,57
Andre Burakovsky,57
Joel Eriksson Ek,57
Brenden Dillon,57
David Krejci,56
Artemi Panarin,56
Michal Kempny,56
Jamie Benn,56
Ryan Pulock,56
Scott Mayfield,56
Patrik Laine,55
Anthony Duclair,55
Tyler Ennis,55
Valtteri Filppula,55
Ondrej Kase,55
David Perron,54
Kyle Clifford,54
Sean Kuraly,54
Andrew Shaw,54
Brayden Point,53
Kris Russell,53
Ben Hutton,53
Taylor Hall,53
Brock Boeser,52
Patric Hornqvist,52
John Klingberg,52
Esa Lindell,52
Anders Lee,52
Noel Acciari,52
Josh Manson,52
Alexander Radulov,52
Zemgus Girgensons,51
Victor Rask,51
Joe Thornton,51
Pavel Zacha,51
Trevor Lewis,50
Jake Virtanen,50
Gabriel Bourque,50
Samuel Girard,50
Christian Fischer,50
Lawson Crouse,50
Deryk Engelland,50
Mikko Koivu,50
Joe Pavelski,50
Tyler Toffoli,50
Paul Byron,49
James van Riemsdyk,49
Nic Dowd,49
Dylan DeMelo,49
Mikhail Sergachev,48
Brock McGinn,48
Alexander Wennberg,48
Tyler Johnson,47
Charlie Coyle,47
Artem Anisimov,47
Bryan Little,47
Ian Cole,47
Jason Demers,47
Markus Granlund,46
Sami Vatanen,46
Brad Richardson,46
Jared Spurgeon,46
Vladislav Namestnikov,46
Ethan Bear,45
Brad Marchand,45
Adrian Kempe,45
Marcus Pettersson,44
Justin Faulk,44
Marcus Foligno,44
David Pastrnak,44
Victor Hedman,43
Justin Braun,43
Blake Coleman,43
Josh Anderson,43
Evgeni Malkin,43
Tony DeAngelo,43
Ryan Hartman,43
Adam Erne,42
Cody Ceci,42
Frederik Gauthier,42
Corey Perry,42
Marco Scandella,42
Evan Rodrigues,41
Micheal Ferland,41
Roman Josi,41
Nico Hischier,41
Jamie Oleksiak,41
Jason Spezza,41
Clayton Keller,41
Troy Stecher,41
Christopher Tanev,40
Ryan Johansen,40
Braydon Coburn,40
Mikael Granlund,40
Zdeno Chara,40
James Neal,40
Matt Nieto,40
Andrej Sekera,40
Anthony Beauvillier,40
Tyler Pitlick,39
Mitchell Marner,39
Anton Stralman,38
Drake Caggiula,38
Ryan Suter,38
Brian Boyle,38
Marc-Edouard Vlasic,38
Derick Brassard,38
Michael Del Zotto,38
Josh Morrissey,38
Kyle Palmieri,38
Nick Cousins,37
Jake Guentzel,37
Jacob de la Rose,37
Jared McCann,37
Dylan Larkin,37
Michael Frolik,37
Patrick Marleau,37
Jonas Brodin,36
Connor Brown,36
Jordie Benn,36
Sonny Milano,36
Kyle Turris,36
Ryan Carpenter,36
Victor Mete,35
Kevin Hayes,35
Chris Kreider,35
Nikita Kucherov,35
Mattias Ekholm,35
Nate Schmidt,35
Kyle Connor,35
Phil Kessel,34
Jason Dickinson,34
Damon Severson,34
Alex Chiasson,34
Jason Zucker,34
Anthony Bitetto,34
Johan Larsson,34
Madison Bowey,33
Ryan Ellis,33
Anthony Mantha,33
