name,player_involvement
Dylan Larkin,629
Patrice Bergeron,617
Bo Horvat,572
Mark Scheifele,571
Claude Giroux,570
Ryan O'Reilly,568
Nicklas Backstrom,559
Jack Eichel,557
Jordan Staal,556
Tomas Hertl,527
Phillip Danault,519
Leon Draisaitl,518
Ryan Getzlaf,515
William Karlsson,515
Anze Kopitar,510
Sidney Crosby,509
Nathan MacKinnon,502
Lars Eller,497
Jonathan Toews,495
Derek Stepan,492
Aleksander Barkov,485
Paul Stastny,485
Auston Matthews,481
Nazem Kadri,477
Mikael Backlund,474
Jean-Gabriel Pageau,474
Tyler Seguin,468
Mikko Koivu,462
Sebastian Aho,451
Chris Tierney,441
Brock Nelson,441
Sean Monahan,440
Radek Faksa,438
Kevin Hayes,437
Eric Staal,435
Connor McDavid,435
Max Domi,432
Logan Couture,428
Adam Henrique,427
Ryan Johansen,425
Jeff Carter,424
Ryan Nugent-Hopkins,413
Brayden Schenn,413
Elias Lindholm,402
Boone Jenner,400
John Tavares,393
Pierre-Luc Dubois,389
Alexander Wennberg,385
Nate Thompson,380
Ryan Strome,380
Nico Hischier,378
Sean Couturier,376
Alexander Kerfoot,371
Teddy Blueger,369
Anthony Cirelli,368
Carl Soderberg,366
Noel Acciari,365
Adam Lowry,361
Christian Dvorak,361
Erik Haula,360
Steven Stamkos,358
Evgeny Kuznetsov,357
Jack Hughes,356
Derek Grant,353
Travis Zajac,348
Cody Eakin,346
J.T. Miller,344
Joel Eriksson Ek,340
Brady Tkachuk,337
Brett Howden,337
Joe Pavelski,335
Nick Bonino,334
Sean Kuraly,333
Johan Larsson,331
Jonathan Marchessault,327
Matt Duchene,326
Valtteri Filppula,325
Charlie Coyle,322
Mathew Barzal,321
Andrew Copp,320
Blake Wheeler,315
David Kampf,315
Lucas Wallmark,315
Alex Ovechkin,314
Brandon Sutter,314
Derek Ryan,313
Tyler Bozak,312
Colton Sissons,312
Joe Thornton,307
Barclay Goodrow,300
Jay Beagle,300
Max Pacioretty,300
Mika Zibanejad,294
Luke Kunin,294
Alexander Edler,293
Pierre-Edouard Bellemare,289
Jamie Benn,288
Jared McCann,288
Vincent Trocheck,287
Blake Lizotte,287
Dylan Strome,286
William Nylander,286
David Pastrnak,284
Casey Cizikas,281
Frederik Gauthier,281
Ryan Carpenter,281
Michael Amadio,280
Sam Steel,277
Nick Foligno,274
Jake Muzzin,273
Brayden Point,273
Brent Burns,273
Oscar Klefbom,272
Adrian Kempe,271
Mark Giordano,269
Drew Doughty,269
Roope Hintz,268
Riley Sheahan,265
Morgan Rielly,264
Derick Brassard,262
Evander Kane,261
T.J. Oshie,261
Anthony Mantha,260
J.T. Compher,258
Elias Pettersson,258
Roman Josi,254
Thomas Chabot,253
Jeff Petry,250
Nick Schmaltz,249
Shea Weber,249
David Krejci,247
Ivan Barbashev,247
Tyson Jost,246
Tom Wilson,244
Jacob Trouba,243
Marcus Johansson,243
Tomas Nosek,243
Andrew Shaw,243
Jonathan Huberdeau,241
Colin White,240
Nick Paul,238
John Carlson,238
Oskar Sundqvist,236
Tyson Barrie,235
Jacob de la Rose,235
Timo Meier,235
Dougie Hamilton,234
Matthew Tkachuk,233
Brandon Tanev,233
Taylor Hall,231
Darnell Nurse,227
Patrik Laine,227
Brad Richardson,227
Ben Chiarot,227
Andrei Svechnikov,227
Radko Gudas,226
Frans Nielsen,226
Charlie McAvoy,225
Chris Wagner,225
Matt Dumba,223
Nikita Zaitsev,223
Brad Marchand,223
Oliver Ekman-Larsson,223
Shea Theodore,222
Rasmus Ristolainen,221
Jaccob Slavin,220
Sam Bennett,219
Kyle Turris,218
Miro Heiskanen,218
Nick Shore,218
Neal Pionk,217
Travis Konecny,217
Riley Nash,217
Mark Borowiecki,217
Chris Kreider,216
Kevin Rooney,216
Jesperi Kotkaniemi,215
Cam Atkinson,215
Sean Walker,213
Mitchell Marner,211
Blake Coleman,210
Brendan Gallagher,210
Seth Jones,210
Dustin Brown,210
Filip Hronek,209
Brian Boyle,207
Mark Stone,207
Colton Parayko,207
Kris Letang,206
Alex Pietrangelo,205
Denis Malgin,204
Cody Ceci,204
Jakob Chychrun,203
John Klingberg,202
Marcus Pettersson,202
Erik Karlsson,202
Gabriel Landeskog,202
Brayden McNabb,201
Zach Werenski,200
