name,Degree
Leon Draisaitl,42
Connor McDavid,37
Brad Marchand,32
John Carlson,31
David Pastrnak,31
Auston Matthews,27
Nathan MacKinnon,26
Elias Pettersson,26
Aleksander Barkov,25
Patrick Kane,24
Alex Ovechkin,24
Jonathan Huberdeau,24
Dougie Hamilton,23
Anze Kopitar,22
Andrei Svechnikov,22
Artemi Panarin,21
Matthew Tkachuk,21
Tomas Hertl,21
Anthony Mantha,21
Travis Konecny,20
Jack Eichel,20
Mark Scheifele,20
Evgeny Kuznetsov,20
William Karlsson,20
Tyler Bertuzzi,20
Nick Schmaltz,19
Ryan O'Reilly,19
Johnny Gaudreau,19
Sean Monahan,19
Brock Boeser,19
David Perron,19
Patrik Laine,19
J.T. Miller,19
Steven Stamkos,19
Teuvo Teravainen,19
Brent Burns,19
Patrice Bergeron,19
Tomas Tatar,19
Evander Kane,18
Max Pacioretty,18
Brayden Schenn,18
William Nylander,18
Mitchell Marner,18
Logan Couture,18
Roman Josi,18
Mark Stone,18
Cale Makar,18
Jakob Silfverberg,17
Elias Lindholm,17
Nicklas Backstrom,17
Tom Wilson,17
Morgan Rielly,17
Sidney Crosby,17
Nikita Kucherov,17
Jakub Vrana,17
Alex Pietrangelo,17
Claude Giroux,16
Shea Weber,16
Kyle Connor,16
Ryan Strome,16
Mathew Barzal,16
Jonathan Drouin,16
T.J. Oshie,16
Reilly Smith,16
Ryan Ellis,16
Evgenii Dadonov,16
Dylan Larkin,16
Jonathan Marchessault,16
Jaden Schwartz,16
Sean Couturier,15
Sam Reinhart,15
Matt Duchene,15
Nikolaj Ehlers,15
Bo Horvat,15
Ryan Nugent-Hopkins,15
Taylor Hall,15
Jake Guentzel,15
Sebastian Aho,15
James Neal,15
Filip Forsberg,15
Brendan Gallagher,15
Jean-Gabriel Pageau,15
Mike Hoffman,15
Zack Kassian,15
Keith Yandle,15
Erik Karlsson,15
Pavel Buchnevich,15
Kevin Shattenkirk,15
Alex DeBrincat,15
Dylan Strome,15
Adam Henrique,14
Eric Staal,14
Andre Burakovsky,14
Phillip Danault,14
Nazem Kadri,14
Oscar Klefbom,14
Tyler Seguin,14
John Tavares,14
Tony DeAngelo,14
Victor Hedman,14
Connor Brown,14
Ryan Dzingel,14
Joonas Donskoi,14
Ryan Johansen,14
Timo Meier,14
Oskar Lindblom,14
Martin Necas,14
Conor Garland,14
Jakub Voracek,13
Rickard Rakell,13
Mark Giordano,13
Drew Doughty,13
Nick Bonino,13
Brock Nelson,13
Josh Bailey,13
Clayton Keller,13
Torey Krug,13
Viktor Arvidsson,13
Andreas Johnsson,13
Victor Olofsson,13
Ryan Getzlaf,12
Jeff Skinner,12
Brett Connolly,12
Alexander Edler,12
Matt Calvert,12
Pierre-Luc Dubois,12
Mikko Rantanen,12
Kris Letang,12
Josh Morrissey,12
Max Domi,12
Brayden Point,12
Jason Zucker,12
Joe Pavelski,12
Vladislav Namestnikov,12
Calle Jarnkrok,12
Kasperi Kapanen,12
Jared McCann,12
Quinn Hughes,12
Rasmus Dahlin,12
Miro Heiskanen,12
Ivan Provorov,11
Michal Kempny,11
Blake Wheeler,11
Jaccob Slavin,11
Lars Eller,11
Alexander Radulov,11
Tanner Pearson,11
Jake Muzzin,11
Phil Kessel,11
Alex Goligoski,11
Kyle Palmieri,11
Yanni Gourde,11
Alex Killorn,11
Cam Atkinson,11
Derick Brassard,11
Vincent Trocheck,11
Erik Haula,11
Gustav Nyquist,11
