first_player,second_player,faceoffs_together_count
Brock Nelson,Aleksander Barkov,29
Auston Matthews,Patrice Bergeron,27
Anthony Cirelli,Aleksander Barkov,25
Mark Scheifele,Sidney Crosby,25
Jack Eichel,Anthony Cirelli,22
Ryan O'Reilly,Boone Jenner,21
Mark Scheifele,Brock Nelson,20
Bo Horvat,Travis Zajac,20
Derek Stepan,Mikko Koivu,19
Ryan O'Reilly,Phillip Danault,19
Sidney Crosby,Tyler Seguin,19
Adam Lowry,Brock Nelson,19
Jack Eichel,Tomas Hertl,19
Nazem Kadri,Joe Pavelski,18
Ryan O'Reilly,John Tavares,18
Ryan O'Reilly,Mikko Koivu,18
Phillip Danault,Mikko Koivu,17
Phillip Danault,Auston Matthews,17
Jordan Staal,Ryan Strome,17
Sidney Crosby,Patrice Bergeron,17
Claude Giroux,Nico Hischier,17
Ryan Strome,Dylan Larkin,17
Ryan Johansen,Dylan Larkin,17
Patrice Bergeron,Frederik Gauthier,16
Ryan O'Reilly,Dylan Larkin,16
Bo Horvat,Luke Glendening,16
Sean Couturier,Jonathan Toews,16
Ryan O'Reilly,Bo Horvat,16
Jack Eichel,Pierre-Luc Dubois,16
Nicklas Backstrom,Radek Faksa,16
Ryan Strome,Brayden Point,15
Anze Kopitar,William Karlsson,15
Jordan Staal,Elias Lindholm,15
Eric Staal,Phillip Danault,15
Jack Eichel,Aleksander Barkov,15
Tomas Hertl,Colton Sissons,15
Bryan Little,Paul Stastny,15
Mark Scheifele,Tomas Hertl,15
Phillip Danault,Patrice Bergeron,15
Bo Horvat,Ryan Johansen,15
Riley Sheahan,Jack Hughes,15
Nathan MacKinnon,Aleksander Barkov,14
Anze Kopitar,Dylan Larkin,14
Jean-Gabriel Pageau,Dylan Larkin,14
Mark Scheifele,Travis Zajac,14
Blake Wheeler,Radek Faksa,14
Lars Eller,Auston Matthews,14
Anze Kopitar,Bo Horvat,14
Jeff Carter,Bo Horvat,14
Jonathan Toews,Tomas Hertl,14
John Tavares,Patrice Bergeron,14
Jonathan Toews,Logan Couture,13
Jack Eichel,Logan Couture,13
Max Domi,Tomas Hertl,13
Ryan Strome,Patrice Bergeron,13
Mark Scheifele,Nico Hischier,13
Adam Lowry,Nico Hischier,13
Andrew Copp,Derick Brassard,13
Anthony Cirelli,Ryan Johansen,13
Noel Acciari,Ryan Johansen,13
Alexander Kerfoot,Max Domi,13
Sebastian Aho,Joel Eriksson Ek,13
Mark Scheifele,William Karlsson,13
Alexander Wennberg,Erik Haula,13
Patrice Bergeron,Dylan Larkin,13
Phillip Danault,Dylan Larkin,13
Travis Zajac,Mika Zibanejad,13
Leon Draisaitl,Mika Zibanejad,13
Claude Giroux,Jonathan Toews,13
Jonathan Toews,Jordan Staal,13
Claude Giroux,Phillip Danault,13
Jordan Staal,Phillip Danault,13
Elias Lindholm,Anze Kopitar,13
Nicklas Backstrom,Alexander Kerfoot,13
Anze Kopitar,Leon Draisaitl,13
Nicklas Backstrom,Tyler Seguin,13
Sidney Crosby,Casey Cizikas,13
Derek Grant,Jack Eichel,12
Mikael Backlund,Nicklas Backstrom,12
Jay Beagle,Anze Kopitar,12
Ryan O'Reilly,Pierre-Luc Dubois,12
Phillip Danault,Pierre-Luc Dubois,12
Jordan Staal,Pierre-Luc Dubois,12
Nazem Kadri,Derek Stepan,12
Pierre-Edouard Bellemare,Christian Dvorak,12
Ryan O'Reilly,J.T. Miller,12
Jack Eichel,Sebastian Aho,12
Claude Giroux,Sebastian Aho,12
Brock Nelson,Sebastian Aho,12
Brayden Schenn,Mikko Koivu,12
Andrew Copp,Teddy Blueger,12
Claude Giroux,Patrice Bergeron,12
Sean Couturier,Nico Hischier,12
Jordan Staal,Jean-Gabriel Pageau,12
Anze Kopitar,Jean-Gabriel Pageau,12
Brock Nelson,Jean-Gabriel Pageau,12
Pierre-Edouard Bellemare,Aleksander Barkov,12
J.T. Compher,Aleksander Barkov,12
Travis Zajac,Kevin Hayes,12
Jay Beagle,Dylan Larkin,12
William Karlsson,Ryan Carpenter,12
Brayden Point,Johan Larsson,12
Nicklas Backstrom,Mika Zibanejad,12
Patrice Bergeron,Aleksander Barkov,11
Travis Zajac,Aleksander Barkov,11
John Tavares,Kevin Hayes,11
Derek Grant,Dylan Larkin,11
Ryan Getzlaf,Dylan Larkin,11
Leon Draisaitl,Dylan Larkin,11
Tomas Hertl,Johan Larsson,11
Sidney Crosby,Johan Larsson,11
Jean-Gabriel Pageau,Mika Zibanejad,11
Mark Scheifele,Mika Zibanejad,11
