last_name,first_name,Degree
Getzlaf,Ryan,163.0
Eller,Lars,157.0
Staal,Jordan,155.0
Giroux,Claude,154.0
Faksa,Radek,153.0
Draisaitl,Leon,148.0
Karlsson,William,147.0
Bergeron,Patrice,147.0
Horvat,Bo,146.0
Larkin,Dylan,146.0
Stastny,Paul,145.0
Nugent-Hopkins,Ryan,144.0
Dvorak,Christian,144.0
Aho,Sebastian,144.0
Hertl,Tomas,144.0
Stepan,Derek,143.0
Thompson,Nate,143.0
Danault,Phillip,143.0
Kadri,Nazem,143.0
Backstrom,Nicklas,142.0
Jenner,Boone,141.0
Tierney,Chris,140.0
Pageau,Jean-Gabriel,140.0
Soderberg,Carl,139.0
Backlund,Mikael,139.0
Scheifele,Mark,138.0
Schenn,Brayden,138.0
Kuraly,Sean,138.0
Henrique,Adam,137.0
MacKinnon,Nathan,137.0
Hayes,Kevin,136.0
Klefbom,Oscar,136.0
Edler,Alexander,135.0
Grant,Derek,135.0
Blueger,Teddy,133.0
Tkachuk,Brady,132.0
Eichel,Jack,132.0
Couture,Logan,132.0
Kerfoot,Alexander,132.0
Domi,Max,131.0
McDavid,Connor,131.0
O'Reilly,Ryan,131.0
Larsson,Johan,131.0
Miller,J.T.,130.0
Ryan,Derek,130.0
Dubois,Pierre-Luc,130.0
Muzzin,Jake,129.0
Nelson,Brock,129.0
Acciari,Noel,129.0
Gauthier,Frederik,129.0
Monahan,Sean,129.0
Borowiecki,Mark,128.0
Matthews,Auston,126.0
Shaw,Andrew,126.0
Staal,Eric,126.0
Lindholm,Elias,126.0
Giordano,Mark,126.0
Wilson,Tom,126.0
Eriksson Ek,Joel,125.0
Seguin,Tyler,125.0
Tanev,Brandon,124.0
Zaitsev,Nikita,124.0
Wallmark,Lucas,124.0
Chiarot,Ben,124.0
Lowry,Adam,123.0
Kampf,David,123.0
Howden,Brett,123.0
Lizotte,Blake,123.0
Couturier,Sean,122.0
Goodrow,Barclay,122.0
Johansen,Ryan,122.0
Coyle,Charlie,121.0
Jost,Tyson,121.0
Crosby,Sidney,121.0
Carter,Jeff,121.0
Burns,Brent,120.0
Tavares,John,120.0
Ekman-Larsson,Oliver,120.0
Kunin,Luke,119.0
Toews,Jonathan,118.0
Wagner,Chris,118.0
Kopitar,Anze,118.0
Steel,Sam,118.0
Compher,J.T.,118.0
Carpenter,Ryan,117.0
Marchessault,Jonathan,117.0
Bonino,Nick,117.0
Hintz,Roope,116.0
Wennberg,Alexander,116.0
Wheeler,Blake,116.0
Kuznetsov,Evgeny,116.0
McAvoy,Charlie,116.0
McCann,Jared,115.0
Dumba,Matt,115.0
Pavelski,Joe,115.0
Nurse,Darnell,115.0
