last_name,first_name,score
Getzlaf,Ryan,1.983806423353962
Faksa,Radek,1.9747472675167954
Staal,Jordan,1.9212783493567258
Eller,Lars,1.9209537963033652
Giroux,Claude,1.88400748167187
Horvat,Bo,1.8294582872185854
Aho,Sebastian,1.8136486129136755
Nugent-Hopkins,Ryan,1.8063181749079378
Bergeron,Patrice,1.8023320684675126
Draisaitl,Leon,1.7975137431523762
Larkin,Dylan,1.7934349998598917
Karlsson,William,1.7903762053581884
Dvorak,Christian,1.7716760075534692
Thompson,Nate,1.7714650038862598
Hertl,Tomas,1.7649844342144205
Kadri,Nazem,1.76006470065331
Stastny,Paul,1.7588768469868228
Danault,Phillip,1.7541163369547574
Stepan,Derek,1.7523554570158009
Jenner,Boone,1.7465098370332266
Tierney,Chris,1.7403854329371824
Henrique,Adam,1.7385065412265246
Kuraly,Sean,1.731557216634974
Pageau,Jean-Gabriel,1.7291625318932344
Backstrom,Nicklas,1.7234471714938988
Scheifele,Mark,1.7204929564846676
MacKinnon,Nathan,1.7204348443425261
Soderberg,Carl,1.71751687543001
Klefbom,Oscar,1.7089769314508882
Edler,Alexander,1.7073005542275492
Schenn,Brayden,1.6951864400994963
Backlund,Mikael,1.6931621373165398
Tkachuk,Brady,1.6858924308384302
Muzzin,Jake,1.6752642353880218
Hayes,Kevin,1.6746954270871357
Blueger,Teddy,1.6714644956868139
Acciari,Noel,1.6671881907037454
Grant,Derek,1.6645104571711273
Kerfoot,Alexander,1.6601232446497305
Miller,J.T.,1.6598591869231314
Gauthier,Frederik,1.658868349518161
Borowiecki,Mark,1.6485801938630174
Larsson,Johan,1.6415883844834749
Nelson,Brock,1.6312723651411944
Domi,Max,1.6284195328480566
Couture,Logan,1.626535411470104
Eichel,Jack,1.6264705703244544
McDavid,Connor,1.6217334056855175
Tanev,Brandon,1.6172916245297526
Goodrow,Barclay,1.6148570325283798
Zaitsev,Nikita,1.6137544206576417
Giordano,Mark,1.6129861660068854
Ryan,Derek,1.6069123191875407
Dubois,Pierre-Luc,1.6063630325370468
Monahan,Sean,1.6059029430325609
O'Reilly,Ryan,1.6045697217341512
Shaw,Andrew,1.6027764817816208
Wilson,Tom,1.599670626805164
Chiarot,Ben,1.5911094548297116
Wallmark,Lucas,1.5874405901995485
Jost,Tyson,1.5709177941083907
Howden,Brett,1.568571019452065
Staal,Eric,1.5623102040612136
Matthews,Auston,1.5566938821808434
Eriksson Ek,Joel,1.5494789526332173
Lowry,Adam,1.548170521343127
Lindholm,Elias,1.5475098644499665
Kampf,David,1.5469694065861403
