,game_id,firstName,lastName,goals
25937,2019020001,Dylan,DeMelo,0
25101,2019020001,Mark,Borowiecki,0
1233,2019020001,Artem,Anisimov,0
37697,2019020001,Scott,Sabourin,1
7788,2019020001,Morgan,Rielly,0
14073,2019020001,John,Tavares,0
20148,2019020001,Tyler,Ennis,0
7759,2019020001,Martin,Marincin,0
14469,2019020001,Nick,Shore,0
24709,2019020001,Cody,Ceci,0
37755,2019020001,Dmytro,Timashov,0
28705,2019020001,Frederik,Gauthier,1
25154,2019020001,Bobby,Ryan,1
37799,2019020001,Ilya,Mikheyev,1
36458,2019020001,Andreas,Johnsson,0
21853,2019020001,Chris,Tierney,0
37843,2019020001,Trevor,Moore,1
37732,2019020001,Drake,Batherson,0
21428,2019020001,Mitchell,Marner,0
37885,2019020001,Rasmus,Sandin,0
8702,2019020001,Jake,Muzzin,0
3521,2019020001,Tyson,Barrie,0
34687,2019020001,Filip,Chlapik,0
21357,2019020001,Connor,Brown,0
24854,2019020001,Jean-Gabriel,Pageau,0
21066,2019020001,William,Nylander,0
37593,2019020001,Erik,Brannstrom,0
34876,2019020001,Colin,White,0
37624,2019020001,Brady,Tkachuk,1
21224,2019020001,Auston,Matthews,2
21299,2019020001,Nikita,Zaitsev,0
33010,2019020001,Thomas,Chabot,0
10858,2019020001,Alexander,Kerfoot,0
4626,2019020001,Ron,Hainsey,0
26948,2019020001,Kasperi,Kapanen,0
16091,2019020001,Anthony,Duclair,0
32654,2019020002,Colton,Parayko,0
34947,2019020002,Brendan,Leipsic,0
32383,2019020002,Vladimir,Tarasenko,0
32598,2019020002,Jay,Bouwmeester,0
32553,2019020002,Robert,Bortuzzo,0
27096,2019020002,Carl,Hagelin,0
33375,2019020002,Alexander,Steen,0
8001,2019020002,Tyler,Bozak,0
12223,2019020002,David,Perron,0
32492,2019020002,Robby,Fabbri,0
6800,2019020002,Lars,Eller,0
792,2019020002,Richard,Panik,0
16372,2019020002,Radko,Gudas,0
5357,2019020002,Garnet,Hathaway,0
16440,2019020002,Brayden,Schenn,0
30079,2019020002,Nick,Jensen,0
25644,2019020002,T.J.,Oshie,0
36122,2019020002,Sammy,Blais,1
25722,2019020002,Jakub,Vrana,1
