Player,embedding
Shayne Gostisbehere,"[0.14700257843835648,0.09907323624766974,0.1440036944087028,0.11635246245867428,0.1428305418018295,0.0980034222739536,0.09903916031126618,0.16206481617057905,0.10520300320458084,0.14199228062871094,0.15704695230515753,0.14497399262825258,0.07040075303168784,0.09734455834923521,0.14808330362691835,0.1514705891878405,0.09206728187965292,0.10031266375035136,0.07860453613683878,0.1248428075130872,0.08220554186517202,0.11638334302873055,0.11401447091015658,0.13213427232787897,0.15792222376093115,0.14497917551074346,0.10626241404373776,0.11330497091690268,0.09887186679703612,0.10587026564590125,0.07528437863673083,0.13492855654667932,0.09205525268237717,0.10997521242945793,0.15533089103970293,0.10682372683584818,0.16270484341666158,0.16253259850739213,0.13165894504583056,0.09472596415783321,0.16200343577380838,0.16308408818722178,0.1375259620105941,0.14365268638796003,0.13474623879114606,0.108907223902123,0.08663603235793783,0.14872952226363037,0.11477023714512614,0.0735148613642354,0.1701858749284565,0.10002267358511664,0.12547436942700782,0.14535260436365474,0.17234928774508987,0.09852188363852221,0.09821549961786315,0.10356231384603755,0.08406497162312652,0.07303657405555239,0.16495725499136885,0.11781204598754856,0.14982312126141165,0.09230013948815335]"
Claude Giroux,"[0.1470067904589967,0.09910921887735187,0.14402872033724234,0.11635851558106618,0.1428595170268386,0.09806162582718722,0.09905512909430425,0.16203401990626912,0.10522488537219671,0.14199307179085946,0.15701983426465413,0.1449600079203568,0.07041858040058871,0.09736649841848927,0.1481059875162756,0.15145257137735998,0.09205366816337042,0.10036664592288216,0.0786224314442905,0.12478586975181857,0.08223096783375165,0.11635339358532908,0.11398258431378573,0.13214737520507558,0.15787795289838935,0.1450359289463619,0.1062735358866351,0.11332258041991596,0.09886866739428311,0.1058676615055307,0.07531793485338903,0.13492935698262315,0.09207182253805431,0.11002875410084091,0.15532272356854887,0.10684742998261054,0.1627283199236359,0.16250327755235558,0.13160846591241132,0.09473219334113168,0.16199219591994105,0.1630748492973006,0.13751699236997014,0.14359433580841335,0.13468762447543278,0.108838941499381,0.08668868580665587,0.1487109663146548,0.11477246963610277,0.07352731424143541,0.17014711357162626,0.10001590204059889,0.12549023408413382,0.1453499709627532,0.17233506412959473,0.09857010899158383,0.09823940504571031,0.10352982424153054,0.08412316736115176,0.07306658535930571,0.16497318415505577,0.11784016951488267,0.1497974270968075,0.09232305352796366]"
Travis Konecny,"[0.147017925265184,0.0991130492455645,0.14403375826445,0.11635261824581067,0.1428687262926529,0.09806280946135892,0.09905401122607083,0.16202323027576063,0.10522711886972644,0.14199342500558507,0.1570127287446153,0.14495977785729205,0.07041742997512768,0.09736490553711505,0.1481121708358229,0.1514450461479824,0.09204651775532628,0.10037566844509567,0.07861957430257373,0.1247747527547567,0.08223411274645577,0.11634365651623159,0.11397335100074288,0.13215502209578994,0.15787748699560009,0.14504755332349392,0.10627240524643324,0.1133232201290211,0.09887221418492743,0.10586490901531077,0.07531694510586029,0.13493364520548073,0.09207691717799936,0.11003777815914548,0.15532563190453727,0.10685203983862857,0.1627353840063311,0.16249571318021255,0.1315987733430819,0.09473466867502113,0.16199910149770846,0.16307425557979416,0.1375074652980253,0.14358511115436667,0.1346726114215417,0.1088255223420517,0.08669099624971388,0.14871084196749604,0.1147708470645883,0.07352538901021398,0.1701353039350754,0.10001761179042017,0.12549073827141582,0.14535620495747678,0.172337741416242,0.09857659850304684,0.0982426190540933,0.10352481816838588,0.08413047391032288,0.07307220586022241,0.16497790854631414,0.11785029155950903,0.1497979209174799,0.0923306543694027]"
Ivan Provorov,"[0.14703986514958733,0.0994014540162101,0.14420764859213656,0.1164118525139186,0.1430913859707153,0.09860948672093331,0.09921441659269888,0.1617611373483081,0.10542830136344043,0.1419338383869567,0.15679599995313453,0.14481175219002215,0.07059799863023021,0.09758486665977555,0.14826192463614749,0.15131826145004382,0.09187741115612114,0.10086311739187405,0.07876215724056702,0.12425194286420478,0.08250099064823856,0.11610265388450072,0.11373829976081215,0.13221962117480554,0.15753524041942077,0.14547881076970637,0.10638422341665156,0.11342162356090427,0.09885782262003968,0.10586962575757675,0.0756362334403223,0.13491158074195278,0.09222563295354307,0.11046463824524931,0.15528046941791518,0.10699242650614127,0.16287711141781505,0.1622430899123614,0.13119079362523325,0.0948217304654533,0.16189887162027503,0.16300792471239528,0.13743590340433515,0.14315223077139502,0.13418605504224895,0.10824856617289624,0.08716826736679804,0.14856792160272636,0.11476490608354083,0.07367974121094725,0.1697954442907582,0.09996989116318636,0.12564943263829556,0.1453058544830295,0.17220680107775063,0.09898736545269998,0.09848480466367461,0.10332369783128319,0.084614925275317,0.07336586473493989,0.16507689746613735,0.11809199278815867,0.14958775997676405,0.09253730911355121]"
Brandon Manning,"[0.1469074624022591,0.09948891659090621,0.14421718127545913,0.11652164324142357,0.14307929214066345,0.09886328929630431,0.09931602504951327,0.16176714633579473,0.10550177897267592,0.14188611341173385,0.156783737916884,0.14473933353568774,0.0707092069743784,0.0977143901353712,0.14824596550563363,0.15135599112755602,0.09187146681725239,0.10098263519892277,0.07886108907739164,0.12414081503826548,0.08259876828685747,0.11611075823097047,0.11374262686963121,0.13214829962927274,0.15738235416452237,0.14551829112997614,0.1064549004308008,0.11345530496314879,0.09880781548792755,0.10591703818370513,0.07580487774588986,0.1348441755374114,0.09223294972588171,0.11054543413645643,0.15522710258077296,0.10699602637308739,0.1628479324131084,0.1622132661114158,0.13112039206909468,0.09484240213144289,0.1617699325668696,0.16298421357764073,0.13752216672717243,0.1430742244729207,0.13414510154079928,0.10815002844095219,0.08736973431614692,0.14849688682339557,0.1147833700154516,0.07378433659933266,0.1697819905359679,0.09992717735446685,0.12572242465768957,0.14520075258645856,0.1721048843597338,0.09910355699639767,0.09856770426764748,0.10330457558414755,0.08475600214228785,0.07344336809622815,0.16506543837954296,0.11807892835822908,0.14948268507566753,0.09253653250793441]"
Pierre-Edouard Bellemare,"[0.147053175379041,0.0990967247426109,0.1440248945780684,0.11632864776832154,0.14287797160637716,0.09801847697529785,0.09903970874900539,0.1620057547095448,0.10521862445689656,0.14198946500352735,0.15701179555450914,0.14497038415109745,0.07039892655479149,0.09734556705642286,0.14810948329517074,0.15143607172282453,0.09202364085189912,0.10035799517647416,0.0785930822452336,0.12478131075146327,0.08222824126561065,0.11633682130178592,0.11397426849479067,0.13217086278152265,0.15792250183867723,0.14503597592553685,0.10625770815727052,0.11330817403428715,0.09888120500463801,0.10586085219540804,0.07528711152249427,0.13494290157156305,0.09207792611696787,0.11002401239492042,0.15534650505485156,0.1068459320841555,0.16273478319930482,0.16249158492587187,0.13160873799295056,0.09473800495534482,0.1620325561552021,0.1630816023834538,0.13747543652520602,0.14361258480065284,0.13467473297885116,0.10883493539219663,0.08665633121965978,0.14872905526283836,0.11476284142576952,0.07351209580974954,0.1701255365070746,0.10002925676826847,0.12547905168723075,0.14537801685412774,0.17235662428401813,0.09855718535287221,0.09824036738564709,0.10353924165039585,0.08410571348591436,0.07306682963039816,0.16498272048753376,0.11786102798672074,0.14982417476618154,0.0923386568160336]"
Jakub Voracek,"[0.14707161848390315,0.09925617008512441,0.14413807822261712,0.11635496731754746,0.1430050929947723,0.09829869690663323,0.09911324885281028,0.16186987601568167,0.10531863307995405,0.1419814245218842,0.1568881227720136,0.14489708521219788,0.07048557183627499,0.09744741400946291,0.14821194006518468,0.15135738979941626,0.09196077200863091,0.10062129219776661,0.0786762427947287,0.12450829525781851,0.0823519267287984,0.11619749182737736,0.11382799241906054,0.13222043089918167,0.1577162849861914,0.14529684281762675,0.1063143938805731,0.11337589173576919,0.09887963267406509,0.1058484010601736,0.07544644829517312,0.13494675594783212,0.09216124273257062,0.11026793712438514,0.15531155436499874,0.1069405240822586,0.16283667577385377,0.1623574681258386,0.13138017822153128,0.09477554718244234,0.16197971913880727,0.1630412790150575,0.13744263053231257,0.1433445997364351,0.13439835875659134,0.1085190264373969,0.08690525260148942,0.14864576143107638,0.11476595187044167,0.07357508657544722,0.16994350502386651,0.10000235175698181,0.12555794674466203,0.14536239781815652,0.17229456666201326,0.09878126322185835,0.09835328382789814,0.10340233107942089,0.08437159363477524,0.07321464849137072,0.16504223627793585,0.1179945620391359,0.14970451139375487,0.09244738905361045]"
Sean Couturier,"[0.14698143253333387,0.09912399953250083,0.14402552292962184,0.1163804054980436,0.14285588816037423,0.09811683650199886,0.09907823718396,0.16203279176672308,0.10524128409661941,0.14197422005272706,0.15701809390449162,0.14494198205220268,0.07044389380380309,0.0973952777684332,0.14809784716979663,0.15146279387837822,0.09204346357544017,0.10039434727097231,0.07863927596989716,0.12475743211225607,0.08225724597299347,0.11635491469688916,0.1139866301243792,0.13212920934568623,0.1578539033514976,0.1450381188386144,0.10628898155944837,0.1133215446130986,0.09886168577076794,0.10588027249524685,0.07535425778866332,0.13491354930671914,0.09207496369148445,0.11004177892470118,0.1553170287444475,0.10684069839921506,0.16271613129695803,0.16249553814193868,0.13159690430566903,0.09474177157705273,0.1619685632465868,0.163072359391527,0.13753261979948755,0.14358730186360652,0.13467934562242165,0.1088188801021745,0.08673134095111383,0.14869926627575847,0.1147727910605336,0.0735532617627592,0.1701414935300168,0.10000966373135016,0.1255073031676745,0.1453274277350808,0.17231475348637723,0.09859344342372423,0.09826172718816019,0.10353593786618219,0.0841495300047592,0.07308752205551083,0.16496729772794574,0.1178395366977904,0.1497788086463914,0.09232507954685366]"
Michael Raffl,"[0.14711720208176524,0.09917623335411653,0.14410010018311487,0.116302445063758,0.14296878783125821,0.09812743295792886,0.09905384957244615,0.16190780647846645,0.105264527202876,0.1419991739278192,0.15693069737529686,0.14494395972964288,0.07041899522972854,0.09737438230396923,0.14818313084674364,0.15136611741097764,0.09197570736884683,0.10050371715830353,0.07861349433505525,0.12462397369440592,0.08228602513218708,0.11623877591731209,0.11387523861991748,0.13222662145555727,0.15784021522328967,0.14520374179022508,0.10627223876041351,0.11333961721193911,0.09889884029804816,0.10583698842915482,0.0753417776097653,0.13496695186813645,0.09213601878201819,0.11016247513609878,0.15534199806707108,0.1069034627296706,0.16281176610845688,0.16240878872243988,0.13147335606620045,0.09475774753326548,0.1620424739362011,0.16306392299410533,0.1374171317508143,0.14345868172421064,0.13449633233508831,0.1086446995452148,0.08675996910823529,0.14870142857508456,0.11475388485627087,0.07352471797801076,0.16999902430525057,0.10002559378624805,0.12551151438087366,0.14540304310021496,0.17234930089765835,0.09867042696243265,0.09829186926790615,0.10345518241158506,0.08424093268230431,0.07314657346840481,0.16502357970538983,0.11796266304754148,0.14977983353089627,0.09242040819634376]"
Wayne Simmonds,"[0.14702137064081647,0.09927583143585399,0.14413708469768166,0.11638962095408688,0.14298833673796646,0.09837244379741722,0.0991417810995458,0.16188736421789898,0.10533751531553066,0.14196866465455807,0.15689320432885315,0.14487692501774543,0.07051834172660318,0.09748777699634259,0.14819960496237286,0.15137613062749636,0.09196838295526145,0.10064869075902094,0.07870710948046493,0.12448724354195757,0.08237769196513034,0.11621235479312128,0.11384129553692711,0.13218784210545415,0.15767295404589793,0.14529587398070676,0.1063367543016379,0.11338342408298156,0.09886393041871656,0.10586483030417364,0.07549832630800832,0.13492202263878927,0.09215959291349826,0.110278232955223,0.15529193216029313,0.10693278977139237,0.16281853634150245,0.16235998805834034,0.1313710703366995,0.09477879341900769,0.16193366832748876,0.16303580044164231,0.13747970871250878,0.1433324757102539,0.13440336322312105,0.10850440131644697,0.08696095609824323,0.14862765392407246,0.11477045323775552,0.07361008115501909,0.1699525041519466,0.09998753120605457,0.12558014300002723,0.14532449999546918,0.17226273892996224,0.09880664177844926,0.0983712265555064,0.10340403047396729,0.08440295842967127,0.07323236853360557,0.16502987867856683,0.11798075350818595,0.14967359847236059,0.09244124575503909]"
